Academic_Program_Name,Year,min_opening_rank,max_closing_rank
128,2024,49,14348
129,2021,466,6651
129,2022,488,11990
129,2023,398,13272
129,2024,184,11615
130,2021,350,19658
130,2022,1292,20888
130,2023,1365,20588
130,2024,1387,22024
131,2021,1740,18982
131,2022,1174,20790
131,2023,1431,19695
131,2024,1483,20680
132,2021,54,9591
132,2022,79,10027
132,2023,16,3723
132,2024,53,3957
133,2021,307,2795
133,2022,83,3260
133,2023,73,4866
133,2024,272,5158
134,2021,1449,9354
134,2022,939,10714
134,2023,1141,15098
134,2024,1074,15214
135,2021,1377,14031
135,2022,992,13828
135,2023,1193,16065
135,2024,1177,16446
136,2021,223,3102
136,2022,161,3060
136,2023,75,3907
136,2024,105,3674
137,2021,1455,18104
137,2022,1135,19536
137,2023,843,19020
137,2024,1003,18537
138,2021,188,4633
138,2022,89,4106
138,2023,42,4340
138,2024,137,4814
139,2021,1083,10352
139,2022,914,11071
139,2023,865,12832
139,2024,877,10847
140,2022,176,4772
140,2023,37,4527
140,2024,277,4434
141,2022,1500,23481
141,2023,1276,24238
141,2024,1553,23748
142,2022,1460,22795
142,2023,1415,23167
142,2024,1510,23673
143,2022,1230,22429
143,2023,1050,19321
143,2024,1204,15399
144,2022,1264,22643
144,2023,1343,19087
144,2024,1301,24506
145,2022,1410,24651
145,2023,1534,25311
145,2024,1503,25762
146,2023,912,10623
146,2024,622,9292
147,2023,1159,18857
147,2024,1394,18004
148,2023,1352,22150
148,2024,1416,23252
149,2023,545,9114
149,2024,621,7886
150,2023,982,11768
150,2024,969,12194
151,2023,1446,24901
151,2024,1493,23698
152,2023,1008,14142
152,2024,719,10970
153,2023,873,8588
153,2024,1057,9871
154,2023,1214,15528
154,2024,1325,14739
155,2023,1243,24011
155,2024,1188,24612
156,2023,2511,21794
156,2024,2375,18498
157,2023,407,7549
157,2024,667,9776
158,2023,674,14128
158,2024,991,14138
159,2023,1294,14323
159,2024,1192,16498
160,2023,670,10103
160,2024,714,11004
161,2023,1288,18073
161,2024,1244,18529
162,2023,1525,17366
163,2023,677,11739
163,2024,882,12637
164,2023,462,6031
164,2024,122,8412
165,2024,63,4762
166,2024,30,1379
167,2024,527,7281
168,2024,1160,4864
169,2024,2697,13111
170,2024,2461,20511
171,2024,2292,15129
172,2024,581,11166
173,2024,1337,16808
174,2024,1186,18135
175,2024,2199,12375
176,2024,1309,6341
177,2024,1194,19507
178,2024,1273,22211
179,2024,1329,9961
